sample_title,core,covered_points,created_at,director_voice,empty_words_detected,genre,missed_points,sample_id,scene_tag,shot_type,source_cut,teaching_note,tier,updated_at,usable_for_fewshot,word_count
visual_scene_core · 优 · 雨中告别,visual_scene_core,13/13 + 具象度数/米数/HEX/字样全部锚点化,2026年4月22日 18:04,新海诚系,无,"写实, 日系",无,GS-7,"城市, 夜景, 室外, 离别, 雨",MCU,,V3 标杆。每一句都可执行、可校验、可还原。,优,2026年4月22日 18:04,Yes,485
visual_scene_core · 差 · 校园走廊相遇,visual_scene_core,主体位置；阳光这一笼统词,2026年4月22日 18:04,通用,美丽；明亮；青春；好看；电影感,"动画, 日系",主光方向与角度；光软硬；色温观感；材质；空气感微动；色彩反射；视觉引导；前中后景；剪影可读性；屏内文字；基调词,GS-1,"室内, 日景, 校园, 相遇",MS,,典型空洞词范本，不入 few-shot。,差,2026年4月22日 18:04,No,52
visual_scene_core · 优 · 图书馆阳光相遇,visual_scene_core,13/13,2026年4月22日 18:04,新海诚系,无,"日系, 治愈",无,GS-8,"室内, 日景, 校园, 相遇",OTS,,对应用户最初的灵感台本（男女主阳光+羞涩）的 V3 实现。,优,2026年4月22日 18:04,Yes,460
visual_scene_core · 中 · 校园天台对谈,visual_scene_core,环境时空/主光角度/空气感/前中后景/基调词/色温观感,2026年4月22日 18:04,新海诚系,无,"动画, 日系, 治愈",光软硬明确度/材质细节/色彩反射锚点/视觉引导路径/剪影可读性/屏内文字,GS-3,"室外, 对话, 日景, 校园",MLS,,中档典范，可进 few-shot。,中,2026年4月22日 18:04,Yes,175
visual_scene_core · 中 · 咖啡馆独坐,visual_scene_core,环境时空/主光角度与色温数值/材质（陶瓷）/空气感（蒸汽）/前中后景/基调词,2026年4月22日 18:04,通用,无,"写实, 治愈",色彩反射锚点/视觉引导路径/剪影/屏内文字,GS-4,"城市, 室内, 独白",MS,,中档，色温数值与基调词到位。,中,2026年4月22日 18:04,Yes,170
visual_scene_core · 好 · 海边黄昏对坐,visual_scene_core,13/13,2026年4月22日 18:04,新海诚系,无,"日系, 治愈",无,GS-5,"室外, 对话, 日景, 海边, 离别",MS,,好档标杆，秒级时间、具体角度、冷暖反射、屏内文字都到位。,好,2026年4月22日 18:04,Yes,270
visual_scene_core · 差 · 城市夜雨街角,visual_scene_core,下雨事实,2026年4月22日 18:04,通用,漂亮；高质量；氛围感；非常,"写实, 悬疑",主光方向/光软硬/色温数值/材质细节/空气感/色彩反射锚点/视觉引导/前中后景层次/剪影/屏内文字/基调词,GS-2,"城市, 夜景, 室外, 雨",LS,,大环境词当完整描述的典型错位。不入 few-shot。,差,2026年4月22日 18:04,No,47
visual_scene_core · 好 · 山林清晨追逐,visual_scene_core,13/13,2026年4月22日 18:04,宫崎骏系,无,"动画, 治愈",无,GS-6,"奔跑, 室外, 山林, 日景",MLS,,宫崎骏系质感：神光柱/惊花粉/松针弹性。,好,2026年4月22日 18:04,Yes,245
motion_performance_core · 优 · 伸手欲触又收回,motion_performance_core,14/14 + 分层/秒数/暗号全部锚点化,2026年4月22日 18:07,新海诚系,无,"日系, 治愈",无,GS-15,"室内, 对话, 离别",CU,,V3 动作核心标杆。每一拍都有秒数+分层+具象锚点。,优,2026年4月22日 18:07,Yes,540
motion_performance_core · 好 · 接过传递物,motion_performance_core,14/14,2026年4月22日 18:07,通用,无,"日系, 治愈",无,GS-13,"室内, 对话",MS,,好档标杆。秒级节奏全拍齐全、次级动画到位。,好,2026年4月22日 18:07,Yes,290
motion_performance_core · 差 · 帅气拔剑,motion_performance_core,动作名称,2026年4月22日 18:07,通用,帅气；非常；酷；惊呆,"动画, 国风",几乎全部 14 点,GS-10,战斗,MS,,全空洞词，完全不可执行。不入 few-shot。,差,2026年4月22日 18:07,No,28
motion_performance_core · 优 · 第一次对视的屏息,motion_performance_core,14/14,2026年4月22日 18:07,新海诚系,无,"日系, 治愈",无,GS-16,"室内, 校园, 相遇",OTS,,V3 动作核心标杆第二条，屏息类场景的模版。,优,2026年4月22日 18:07,Yes,540
motion_performance_core · 中 · 推门进入,motion_performance_core,预备/动作/重心/停顿/眼神/对白同步/情绪转折,2026年4月22日 18:07,通用,无,"写实, 治愈",过冲/回落/接触反应/呼吸细节/微表情时机/次级动画/主次分层/身体朝向细节,GS-12,室内,MS,,中档，次级动画与接触反应没有（门把反光/头发无反应）。,中,2026年4月22日 18:07,Yes,140
motion_performance_core · 中 · 挥手告别,motion_performance_core,节奏/预备/动作/过冲/回落/重心/眼神/停顿/对白同步,2026年4月22日 18:07,通用,无,治愈,接触反应/呼吸细节/次级动画/微表情时机/情绪转折/主次动作分层/身体朝向细节,GS-11,"室外, 离别",MS,,中档典范——拍子到位，但次级动画与情绪转折缺席。,中,2026年4月22日 18:07,Yes,160
motion_performance_core · 好 · 奔跑撞见,motion_performance_core,14/14,2026年4月22日 18:07,通用,无,"动画, 日系",无,GS-14,"奔跑, 室内, 校园, 相遇",MS,,好档，节拍以秒为单位明确、滑步急刹传感到位。,好,2026年4月22日 18:07,Yes,280
motion_performance_core · 差 · 突然拥抱,motion_performance_core,动作名称,2026年4月22日 18:07,通用,突然；激动；感人；很久,治愈,节奏/预备/过冲/回落/重心/接触反应/呼吸/眼神/微表情时机/次级动画/停顿/对白同步/情绪转折/站位,GS-9,"室外, 相遇",CU,,只有动作标签、没有拍子。不入 few-shot。,差,2026年4月22日 18:07,No,45
中·咖啡馆独坐机位,camera_directing_core,景别/焦段/机位高度/机位运动/构图/画幅,2026年4月22日 18:22,通用,（无明显空话）,写实,进出画方向/180° 轴/具体 T 值/交班机位,GS-20,"城市, 室内, 日景, 独白",MCU,,"给到了离地高度、焦段、稳定器方式与构图，但缺失交班机位的下一镜景别预告，使得跨镜头时剪辑需额外判断。属于典型""差一点点就好""的中档样本。",中,2026年4月22日 18:22,Yes,82
好·山林清晨追逐机位,camera_directing_core,景别/焦段/机位高度/机位运动/光学特性/构图/进出画/180°/交班（9/10）,2026年4月22日 18:22,宫崎骏系,（无）,"动画, 日系",呼吸具体位移数值,GS-22,"奔跑, 室外, 山林, 日景",MS,,"好档：跟拍分前后段两机位，严守 180° 并用下山坡俯角镜做轴线过渡——这是动画导演级的工程解法。机位高度 110cm 模拟主观但不完全重合，这种""贴近不替代""的拿捏到位。",好,2026年4月22日 18:22,Yes,148
好·海边黄昏对坐机位,camera_directing_core,景别/焦段/机位高度/机位运动/光学特性/构图/进出画方向与 180°/交班机位/画幅（9/10）,2026年4月22日 18:22,新海诚系,（无）,"日系, 治愈",下一镜具体编号预告,GS-21,"室外, 对话, 日景, 海边",MLS,,好档：起落镜双景别明确（ELS→MLS），给了轨道位移量 1.2m 与方向，标注了跨轴前用 OTS 反打过渡避免穿帮。T 值与呼吸控制都点到。仅差交班编号（下一镜应标 C-07 或类似）。,好,2026年4月22日 18:22,Yes,152
优·雨中告别机位 MCU 85mm,camera_directing_core,景别/焦段/机位高度/机位运动/光学特性/构图/进出画/180°/交班机位/画幅（10/10 全覆盖）,2026年4月22日 18:22,新海诚系,（无）,"日系, 治愈",（无）,GS-23,"城市, 夜景, 室外, 离别, 雨",MCU,,"优档标杆：把切点锁在呼气节点的第 4.2 秒、下一镜由 85mm MCU 切 35mm MLS 形成""景别渐远的告别语义""——景别变化被赋予叙事功能。这是导演级语言，不再是操作员语言。",优,2026年4月22日 18:22,Yes,285
差·校园走廊机位,camera_directing_core,仅提及中景（景别 1/10）,2026年4月22日 18:22,通用,自然/常规/无所谓/不用太复杂,治愈,焦段/机位高度/运动方式具体/光学特性/构图/进出画方向/180°轴/画幅/交班机位,GS-17,"室内, 校园",MS,,"典型的口语化外行下指令：只说了景别，其余 9 个点全靠""自然/常规/无所谓""兜底。渲染器无法从这段文字里得到任何可执行参数——给 Seedance 只会返回随机跟拍。",差,2026年4月22日 18:22,No,58
差·夜雨街角机位,camera_directing_core,"机位运动（仅""手持""）",2026年4月22日 18:22,通用,氛围感/电影感/随便/好看/赛博朋克风,写实,景别/焦段/机位高度/构图/进出画/180°/画幅/交班/光学,GS-18,"城市, 夜景, 雨",MS,,"""随便找个好看的角度""是典型的甩锅表述。""电影感""""赛博朋克风""属于品味词，没有给出任何可工程化的量化参数。",差,2026年4月22日 18:22,No,55
优·图书馆阳光相遇机位,camera_directing_core,景别/焦段/机位高度/机位运动/光学特性/构图/进出画/180°/交班/画幅（10/10）,2026年4月22日 18:22,新海诚系,（无）,"日系, 治愈",（无）,GS-24,"室内, 日景, 校园, 相遇",MS,,优档：双层叠置（OTS+MS）、黄金分割垂直分位、稳定器 0.3 m/s 极缓推进 15cm 模拟心跳——把镜头运动也当作情绪信号来设计。呼吸控制明确要求锁定。构图引导线用书架纵深线递进，属于专业动画导演级描述。,优,2026年4月22日 18:22,Yes,290
